"110","2019-02-03","1","2019-01-05 11:04:36","2019-01-05 11:04:36"
"111","2019-02-10","1","2019-01-05 11:04:52","2019-01-05 11:04:52"
"112","2019-02-11","1","2019-01-05 11:05:10","2019-01-05 11:05:10"
"113","2019-02-17","1","2019-01-05 11:09:22","2019-01-05 11:09:22"
"114","2019-02-23","1","2019-01-05 11:12:53","2019-01-05 11:12:53"
"115","2019-02-24","1","2019-01-05 11:13:02","2019-01-05 11:13:02"
"116","2019-03-03","1","2019-01-05 11:17:05","2019-01-05 11:17:05"
"117","2019-03-10","1","2019-01-05 11:18:02","2019-01-05 11:18:02"
"118","2019-03-16","1","2019-01-05 11:18:15","2019-01-05 11:18:15"
"119","2019-03-17","1","2019-01-05 11:18:20","2019-01-05 11:18:20"
"120","2019-03-21","1","2019-01-05 11:18:29","2019-01-05 11:18:29"
"121","2019-03-24","1","2019-01-05 11:18:34","2019-01-05 11:18:34"
"122","2019-03-31","1","2019-01-05 11:18:41","2019-01-05 11:18:41"
"123","2019-04-07","1","2019-01-05 11:21:51","2019-01-05 11:21:51"
"124","2019-04-13","1","2019-01-05 11:21:57","2019-01-05 11:21:57"
"125","2019-04-14","1","2019-01-05 11:22:01","2019-01-05 11:22:01"
"126","2019-04-21","1","2019-01-05 11:22:07","2019-01-05 11:22:07"
"127","2019-04-28","1","2019-01-05 11:22:15","2019-01-05 11:22:15"
"128","2019-04-29","1","2019-01-05 11:22:19","2019-01-05 11:22:19"
"129","2019-05-03","1","2019-01-05 11:24:11","2019-01-05 11:24:11"
"130","2019-05-04","1","2019-01-05 11:24:14","2019-01-05 11:24:14"
"131","2019-05-05","1","2019-01-05 11:24:17","2019-01-05 11:24:17"
"132","2019-05-06","1","2019-01-05 11:24:20","2019-01-05 11:24:20"
"133","2019-05-12","1","2019-01-05 11:24:32","2019-01-05 11:24:32"
"134","2019-05-19","1","2019-01-05 11:24:38","2019-01-05 11:24:38"
"135","2019-05-25","1","2019-01-05 11:24:43","2019-01-05 11:24:43"
"136","2019-05-26","1","2019-01-05 11:24:46","2019-01-05 11:24:46"
"137","2019-06-02","1","2019-01-05 11:25:17","2019-01-05 11:25:17"
"138","2019-06-08","1","2019-01-05 11:25:24","2019-01-05 11:25:24"
"139","2019-06-09","1","2019-01-05 11:25:27","2019-01-05 11:25:27"
"140","2019-06-16","1","2019-01-05 11:27:28","2019-01-05 11:27:28"
"141","2019-06-23","1","2019-01-05 11:27:35","2019-01-05 11:27:35"
"142","2019-06-30","1","2019-01-05 11:27:40","2019-01-05 11:27:40"
"143","2019-07-07","1","2019-01-05 11:28:39","2019-01-05 11:28:39"
"144","2019-07-14","1","2019-01-05 11:28:47","2019-01-05 11:28:47"
"145","2019-07-15","1","2019-01-05 11:28:50","2019-01-05 11:28:50"
"146","2019-07-21","1","2019-01-05 11:28:57","2019-01-05 11:28:57"
"147","2019-07-27","1","2019-01-05 11:29:06","2019-01-05 11:29:06"
"148","2019-07-28","1","2019-01-05 11:29:10","2019-01-05 11:29:10"
"149","2019-08-04","1","2019-01-05 11:29:55","2019-01-05 11:29:55"
"150","2019-08-10","1","2019-01-05 11:30:04","2019-01-05 11:30:04"
"151","2019-08-11","1","2019-01-05 11:30:08","2019-01-05 11:30:08"
"152","2019-08-12","1","2019-01-05 11:30:14","2019-01-05 11:30:14"
"153","2019-08-13","1","2019-01-05 11:30:17","2019-01-05 11:30:17"
"154","2019-08-14","1","2019-01-05 11:30:20","2019-01-05 11:30:20"
"155","2019-08-18","1","2019-01-05 11:30:25","2019-01-05 11:30:25"
"156","2019-08-25","1","2019-01-05 11:30:32","2019-01-05 11:30:32"
"157","2019-08-31","1","2019-01-05 11:30:38","2019-01-05 11:30:38"
"158","2019-09-01","1","2019-01-05 11:31:58","2019-01-05 11:31:58"
"159","2019-09-08","1","2019-01-05 11:32:04","2019-01-05 11:32:04"
"160","2019-09-14","1","2019-01-05 11:32:15","2019-01-05 11:32:15"
"161","2019-09-15","1","2019-01-05 11:32:26","2019-01-05 11:32:26"
"162","2019-09-16","1","2019-01-05 11:32:31","2019-01-05 11:32:31"
"163","2019-09-22","1","2019-01-05 11:32:36","2019-01-05 11:32:36"
"164","2019-09-23","1","2019-01-05 11:32:41","2019-01-05 11:32:41"
"165","2019-09-29","1","2019-01-05 11:32:46","2019-01-05 11:32:46"
"166","2019-10-06","1","2019-01-05 11:33:27","2019-01-05 11:33:27"
"167","2019-10-13","1","2019-01-05 11:33:36","2019-01-05 11:33:36"
"168","2019-10-14","1","2019-01-05 11:33:40","2019-01-05 11:33:40"
"169","2019-10-20","1","2019-01-05 11:33:51","2019-01-05 11:33:51"
"170","2019-10-26","1","2019-01-05 11:33:59","2019-01-05 11:33:59"
"171","2019-10-27","1","2019-01-05 11:34:02","2019-01-05 11:34:02"
"172","2019-11-03","1","2019-01-05 11:35:31","2019-01-05 11:35:31"
"173","2019-11-04","1","2019-01-05 11:35:35","2019-01-05 11:35:35"
"174","2019-11-10","1","2019-01-05 11:35:39","2019-01-05 11:35:39"
"175","2019-11-17","1","2019-01-05 11:35:44","2019-01-05 11:35:44"
"176","2019-11-23","1","2019-01-05 11:35:50","2019-01-05 11:35:50"
"177","2019-11-24","1","2019-01-05 11:35:54","2019-01-05 11:35:54"
"178","2019-12-01","1","2019-01-05 11:36:27","2019-01-05 11:36:27"
"179","2019-12-08","1","2019-01-05 11:36:33","2019-01-05 11:36:33"
"180","2019-12-14","1","2019-01-05 11:36:38","2019-01-05 11:36:38"
"181","2019-12-15","1","2019-01-05 11:36:42","2019-01-05 11:36:42"
"182","2019-12-22","1","2019-01-05 11:36:47","2019-01-05 11:36:47"
"184","2019-12-29","1","2019-01-05 11:36:58","2019-01-05 11:36:58"
"185","2019-12-30","1","2019-01-05 11:37:02","2019-01-05 11:37:02"
"186","2019-12-31","1","2019-01-05 11:37:05","2019-01-05 11:37:05"
"187","2019-10-22","1","2019-10-23 08:29:44","2019-10-23 08:29:44"
"188","2020-01-02","1","2019-12-17 14:29:48","2019-12-17 14:29:48"
"189","2020-01-03","1","2019-12-17 14:31:01","2019-12-17 14:31:01"
"190","2020-01-04","1","2019-12-17 14:31:29","2019-12-17 14:31:29"
"191","2020-02-08","1","2019-12-17 14:32:10","2019-12-17 14:32:10"
"192","2020-03-14","1","2019-12-17 14:34:26","2019-12-17 14:34:26"
