"822","志田邸","〒959-1326","新潟県加茂市青海町","2丁目5-4","","2019-11-08 18:58:31","2019-11-08 18:58:31"
"823","北四日町　荒木邸","〒955-0853","新潟県三条市北四日町","106","","2019-11-09 16:14:22","2019-11-09 16:14:22"
"828","ドカメン柏崎店","〒945-0034","新潟県柏崎市三和町","9-59","","2019-11-11 07:52:18","2019-11-11 07:52:18"
"830","FLOプレステージュパリ　CoCoLo長岡店","〒940-0061","新潟県長岡市城内町","1丁目611-1","CoCoLo長岡店1F","2019-11-11 20:06:51","2019-11-11 20:06:51"
"836","直江町　志賀様","〒955-0832","新潟県三条市直江町","4丁目11-16-1","","2019-11-11 20:10:59","2019-11-11 20:10:59"
"838","丹羽医院","〒951-8062","新潟県新潟市中央区西堀前通","721","","2019-11-12 08:52:58","2019-11-12 08:52:58"
"842","渡辺鮮魚店","〒951-8067","新潟県新潟市中央区本町通","1105","","2019-11-13 17:32:40","2019-11-13 17:32:40"
"855","モスバーガー柏崎店","〒945-0031","新潟県柏崎市新田畑","1-289-1","","2019-11-19 11:37:31","2019-11-19 11:37:31"
"856","ハイツ月岡","〒955-0808","新潟県三条市新保","355-1","","2019-11-19 17:26:02","2019-11-19 17:26:02"
"863","王風珍","〒959-0222","新潟県燕市下粟生津","2955-2","","2019-11-21 14:06:20","2019-11-21 14:06:20"
"867","希望の庵　良寛","〒956-0854","新潟県新潟市秋葉区滝谷町","4-26","ささえ愛よろずケアタウン","2019-11-21 16:42:41","2021-02-08 10:53:25"
"886","岡本邸","〒940-2105","新潟県長岡市緑町","1丁目38-100","","2019-11-27 07:41:52","2022-06-24 10:47:48"
"898","旧ローソン東三条店","〒955-0047","新潟県三条市東三条","2-19-5","","2019-12-01 07:59:05","2019-12-01 07:59:05"
"904","燕市　池内邸","","","","","2019-12-02 17:59:20","2019-12-02 17:59:20"
"905","須頃アパート","","","","","2019-12-02 18:00:51","2019-12-02 18:00:51"
"932","串焼酒場トリマル","","","","","2019-12-11 17:56:55","2019-12-11 17:56:55"
"933","WORLD","〒950-0087","新潟県新潟市中央区東大通","1丁目6-28-5","2F","2019-12-11 17:57:54","2020-01-28 16:37:07"
"937","イデアル本社","〒950-0087","新潟県新潟市中央区東大通","2-3-25","山長ビル　3F","2019-12-12 18:44:52","2019-12-12 18:44:52"
"968","ファルツェコラージオＡ","〒955-0092","新潟県三条市須頃","2丁目105","ファルツェコラージオＡ　２階","2019-12-19 11:27:47","2019-12-19 11:27:47"
"976","井かり(旧しゃがら)","〒955-0046","新潟県三条市興野","2-16-18","","2019-12-24 08:03:54","2019-12-24 08:03:54"
"977","膳亭西加茂店","〒959-1384","新潟県加茂市寿町","1536-9","","2019-12-24 08:06:43","2019-12-24 08:06:43"
"988","かつや新潟県庁前店","〒950-0962","新潟県新潟市中央区出来島","2-1-5","","2019-12-26 17:02:24","2019-12-26 17:02:24"
"1008","東鱈田住宅","〒955-0816","新潟県三条市東鱈田","74-7","","2020-01-08 14:16:11","2020-01-08 14:16:11"
"1012","雷電","〒959-1381","新潟県加茂市新栄町","11-7","","2020-01-09 11:03:42","2020-01-09 11:03:42"
"1013","東三条　山田邸","〒955-0047","新潟県三条市東三条","1丁目21-8-3","","2020-01-09 14:38:09","2020-01-09 14:38:09"
"1014","奥田皮膚科","〒955-0051","新潟県三条市鶴田","2丁目1-15","","2020-01-09 18:15:18","2020-01-09 18:15:18"
"1027","井手口歯科クリニック","〒959-1289","新潟県燕市東太田","7047-1","","2020-01-14 07:41:48","2020-01-14 07:41:48"
"1034","CLUBかりん","〒955-0071","新潟県三条市本町","2丁目2-31","峯村ビル1　2F","2020-01-15 18:55:27","2020-01-15 18:55:27"
"1036","山崎様五泉整骨院","","新潟県五泉市","","","2020-01-15 19:25:41","2020-01-15 19:25:41"
"1037","アテンドビル","〒950-0912","新潟県新潟市中央区南笹口","1丁目1-50","アテンドビル","2020-01-15 19:53:03","2020-01-15 19:53:03"
